County_FIPS,demand_covered_30,total_demand_of_county,percentage_30,hot_spot,county_name,state_name,priority
01077,26,29,89.65517241,0.031322568,Lauderdale,AL,13.99492358
01079,6,8,75,0.024117452,Lawrence,AL,11.94296223
01081,24,25,96,0.015694941,Lee,AL,10.36179977
01083,14,15,93.33333333,0.016120019,Limestone,AL,8.537162017
01085,26,26,100,0.254005471,Lowndes,AL,233.3802267
01087,6,7,85.71428571,0.036737693,Macon,AL,32.95738428
01089,35,56,62.5,0.015661707,Madison,AL,4.817541112
01091,18,18,100,0.092128161,Marengo,AL,70.21087112
01093,8,9,88.88888889,0.030035041,Marion,AL,20.15351243
01095,130,130,100,0.136633559,Marshall,AL,99.20962741
01097,183,221,82.80542986,0.053296805,Mobile,AL,40.14315377
01099,4,4,100,0.018594273,Monroe,AL,13.9103756
01101,126,164,76.82926829,0.072265479,Montgomery,AL,60.89811889
01103,16,18,88.88888889,0.015110559,Morgan,AL,10.41873038
01105,5,5,100,0.052709256,Perry,AL,52.44043854
01107,11,11,100,0.054192531,Pickens,AL,49.89506355
01109,17,17,100,0.050893632,Pike,AL,45.88569889
01111,24,24,100,0.106317002,Randolph,AL,76.45255604
01113,13,13,100,0.022331782,Russell,AL,20.35541889
01115,13,14,92.85714286,0.016035553,St. Clair,AL,5.862598218
01117,15,33,45.45454545,0.015620488,Shelby,AL,1.826035094
01119,21,23,91.30434783,0.177127455,Sumter,AL,169.2807085
01121,11,12,91.66666667,0.014894805,Talladega,AL,13.01210203
01123,21,24,87.5,0.059060931,Tallapoosa,AL,52.34570332
01125,32,41,78.04878049,0.019882355,Tuscaloosa,AL,12.43641284
01127,10,10,100,0.015505559,Walker,AL,11.55474238
01129,12,12,100,0.072102385,Washington,AL,52.65637205
01131,12,12,100,0.111018596,Wilcox,AL,103.0252567
01133,5,6,83.33333333,0.02513089,Winston,AL,17.65445026
02013,1,1,100,0.02919708,Aleutians East,AK,16.94306569
02016,1,1,100,0.017391304,Aleutians West,AK,8.568695652
02020,44,44,100,0.014859242,Anchorage,AK,6.838223375
02050,3,3,100,0.016629712,Bethel,AK,16.21064302
02060,1,1,100,0.112359551,Bristol Bay,AK,39.60674157
02068,1,1,100,0.044802867,Denali,AK,4.525089606
02070,1,1,100,0.020100503,Dillingham,AK,17.45125628
02090,15,15,100,0.015052231,Fairbanks North Star,AK,5.186998886
02100,1,1,100,0.039714059,Haines,AK,8.220810167
02105,1,1,100,0.046904315,Hoonah-Angoon,AK,19.59662289
02110,5,5,100,0.015465512,Juneau City and Borough,AK,4.619548407
02122,9,9,100,0.015458605,Kenai Peninsula,AK,6.296289935
02130,3,3,100,0.021732831,Ketchikan Gateway,AK,12.05737467
02150,2,2,100,0.014653088,Kodiak Island,AK,10.26595355
02158,2,2,100,0.024396194,Kusilvak,AK,22.77140766
02164,1,1,100,0.072727273,Lake and Peninsula,AK,58.02181818
02170,17,17,100,0.016430836,Matanuska-Susitna,AK,5.21186113
02180,2,2,100,0.020151134,Nome,AK,18.73853904
02185,2,2,100,0.020414413,North Slope,AK,14.9923446
02188,2,2,100,0.02585984,Northwest Arctic,AK,24.18929403
02195,1,1,100,0.030721966,Petersburg,AK,20.43010753
02198,1,1,100,0.015446401,Prince of Wales-Hyder,AK,11.83503244
02220,2,2,100,0.022888533,Sitka City and Borough,AK,9.20576791
02230,1,1,100,0.094250707,Skagway,AK,15.88124411
02240,2,2,100,0.029086678,Southeast Fairbanks,AK,16.98080279
02261,2,2,100,0.021503064,Valdez-Cordova,AK,5.814428556
02275,1,1,100,0.040257649,Wrangell City and Borough,AK,22.61674718
02282,1,1,100,0.145137881,Yakutat City and Borough,AK,85.2394775
02290,1,1,100,0.018467221,Yukon-Koyukuk,AK,16.27331487
04001,155,155,100,0.216716535,Apache,AZ,214.2242946
04003,19,19,100,0.015046049,Cochise,AZ,13.63773866
04005,130,130,100,0.092713437,Coconino,AZ,66.11395195
04007,9,9,100,0.016853933,Gila,AZ,15.15168539
04009,6,6,100,0.015839911,Graham,AZ,15.26967449
04011,2,2,100,0.021043771,Greenlee,AZ,13.02188552
04012,7,7,100,0.033814792,La Paz,AZ,31.23134148
04013,1094,1094,100,0.025717498,Maricopa,AZ,16.34089837
04015,47,47,100,0.022808448,Mohave,AZ,19.67000544
04017,161,161,100,0.148107263,Navajo,AZ,147.4407801
04019,196,196,100,0.019220925,Pima,AZ,16.96823252
04021,120,120,100,0.028590421,Pinal,AZ,24.56488953
04023,8,8,100,0.017173278,Santa Cruz,AZ,16.00206079
04025,50,50,100,0.022257339,Yavapai,AZ,11.59607381
04027,65,65,100,0.031275712,Yuma,AZ,30.94731727
05001,3,3,100,0.016552637,Arkansas,AR,12.88953873
05003,3,3,100,0.014607781,Ashley,AR,12.52763305
05005,7,7,100,0.01698246,Baxter,AR,4.743200951
05007,42,42,100,0.016217469,Benton,AR,4.390068731
05009,6,6,100,0.016090968,Boone,AR,7.046234714
05011,2,2,100,0.018268177,Bradley,AR,17.90829375
05013,1,1,100,0.019223376,Calhoun,AR,10.53633218
05015,5,5,100,0.017929501,Carroll,AR,10.67163911
05017,2,2,100,0.018474044,Chicot,AR,18.41492703
05019,4,4,100,0.017869109,Clark,AR,14.10230065
05021,3,3,100,0.019918996,Clay,AR,13.00511254
05023,4,4,100,0.015854142,Cleburne,AR,3.302417757
05025,2,2,100,0.024313153,Cleveland,AR,13.71991247
05027,4,4,100,0.016742006,Columbia,AR,15.73413695
05029,4,4,100,0.019133263,Conway,AR,14.52023343
05031,17,17,100,0.016083102,Craighead,AR,12.93242259
05033,10,10,100,0.016007171,Crawford,AR,9.772378025
05035,15,15,100,0.030604125,Crittenden,AR,28.58731357
05037,6,6,100,0.03529827,Cross,AR,24.75467702
05039,2,2,100,0.026910657,Dallas,AR,23.61948332
05041,2,2,100,0.016825103,Desha,AR,16.14536889
05043,3,3,100,0.016214463,Drew,AR,12.9877851
05045,19,19,100,0.015520847,Faulkner,AR,7.409652333
05047,3,3,100,0.016872891,Franklin,AR,10.02755906
05049,2,2,100,0.016475822,Fulton,AR,11.01902957
05051,15,15,100,0.015260031,Garland,AR,12.63530561
05053,3,3,100,0.016587416,Grant,AR,5.873603893
05055,7,7,100,0.015686978,Greene,AR,9.151782713
05057,4,4,100,0.018166954,Hempstead,AR,17.20047234
05059,7,7,100,0.020883055,Hot Spring,AR,17.09904535
05061,2,2,100,0.014937635,Howard,AR,13.51109119
05063,6,6,100,0.016101331,Independence,AR,12.11625161
05065,4,4,100,0.029500701,Izard,AR,16.80654916
05067,3,3,100,0.017416546,Jackson,AR,13.32365747
05069,35,35,100,0.049698966,Jefferson,AR,46.89594456
05071,4,4,100,0.015214332,Johnson,AR,13.33992621
05073,1,1,100,0.014461316,Lafayette,AR,11.42154736
05075,10,10,100,0.059991601,Lawrence,AR,38.82056512
05077,2,2,100,0.021281124,Lee,AR,20.54905299
05079,82,82,100,0.598758671,Lincoln,AR,487.030303
05081,2,2,100,0.01610695,Little River,AR,10.15704276
05083,4,4,100,0.018384888,Logan,AR,14.79064209
05085,11,11,100,0.015234191,Lonoke,AR,5.040993823
05087,3,3,100,0.018661359,Madison,AR,12.19519781
05089,3,3,100,0.018250395,Marion,AR,9.444579633
05091,7,7,100,0.015996709,Miller,AR,14.59539752
05093,18,18,100,0.042025636,Mississippi,AR,40.15129229
05095,2,2,100,0.027590012,Monroe,AR,23.49565457
05097,2,2,100,0.02223952,Montgomery,AR,15.56766374
05099,2,2,100,0.023696682,Nevada,AR,20.95023697
05101,2,2,100,0.0254842,Newton,AR,7.173802243
05103,4,4,100,0.016593379,Ouachita,AR,14.36322907
05105,2,2,100,0.01937609,Perry,AR,12.32319318
05107,3,3,100,0.015761269,Phillips,AR,14.56183671
05109,2,2,100,0.018504811,Pike,AR,13.18282754
05111,4,4,100,0.016629251,Poinsett,AR,13.7490646
05113,3,3,100,0.014878738,Polk,AR,13.31498289
05115,10,10,100,0.0157124,Pope,AR,12.46936082
05117,2,2,100,0.024260068,Prairie,AR,15.88549248
05119,64,64,100,0.016265824,Pulaski,AR,10.22632369
05121,3,3,100,0.01704255,Randolph,AR,12.21269102
05123,116,116,100,0.441165285,St. Francis,AR,427.5332776
05125,19,19,100,0.016100467,Saline,AR,5.353405249
05127,2,2,100,0.019153419,Scott,AR,16.99482858
05129,2,2,100,0.025242964,Searcy,AR,11.04632084
05131,20,20,100,0.015691074,Sebastian,AR,13.06752654
05133,6,6,100,0.034897924,Sevier,AR,26.78415634
05135,6,6,100,0.03520507,Sharp,AR,21.79545855
05137,2,2,100,0.01606942,Stone,AR,8.19861803
05139,15,15,100,0.037752945,Union,AR,30.40622169
05141,3,3,100,0.017981299,Van Buren,AR,12.99328698
05143,36,36,100,0.015752924,Washington,AR,10.62534733
05145,12,12,100,0.015227653,White,AR,11.33851074
05147,1,1,100,0.015015015,Woodruff,AR,12.74774775
05149,4,4,100,0.018541696,Yell,AR,16.28517128
06001,268,268,100,0.016304678,Alameda,CA,7.664829348
06003,1,1,100,0.087260035,Alpine,CA,63.58638743
06005,6,6,100,0.015860847,Amador,CA,8.460176055
06007,33,33,100,0.014532643,Butte,CA,11.71912364
06009,7,7,100,0.015474743,Calaveras,CA,3.636564607
06011,4,4,100,0.018635855,Colusa,CA,13.85762206
06013,174,174,100,0.015354111,Contra Costa,CA,6.229162751
06015,5,5,100,0.018232205,Del Norte,CA,17.70894107
06017,29,29,100,0.015536186,El Dorado,CA,2.855550972
06019,221,221,100,0.022594134,Fresno,CA,21.7152219
06021,5,5,100,0.017923074,Glenn,CA,15.94257447
06023,21,21,100,0.015467562,Humboldt,CA,11.76308114
06025,134,134,100,0.074355218,Imperial,CA,74.1916367
06027,3,3,100,0.016588333,Inyo,CA,9.457008571
06029,209,209,100,0.023667889,Kern,CA,22.86081356
06031,117,117,100,0.077961019,Kings,CA,75.67676162
06033,10,10,100,0.015588951,Lake,CA,14.30753882
06035,5,5,100,0.016033349,Lassen,CA,9.615199615
06037,5000,5000,100,0.0495145,Los Angeles,CA,38.03703922
06039,24,24,100,0.015482572,Madera,CA,14.77192235
06041,39,39,100,0.014983,Marin,CA,4.046908316
06043,5,5,100,0.028506271,Mariposa,CA,15.08836944
06045,14,14,100,0.016014276,Mendocino,CA,14.12138821
06047,42,42,100,0.015609031,Merced,CA,15.16729536
06049,2,2,100,0.022376371,Modoc,CA,16.81808011
06051,4,4,100,0.028220686,Mono,CA,3.973472555
06053,66,66,100,0.015235035,Monterey,CA,12.172793
06055,21,21,100,0.014943428,Napa,CA,7.54792571
06057,15,15,100,0.015137448,Nevada,CA,3.095608122
06059,632,632,100,0.019973567,Orange,CA,8.370921774
06061,60,60,100,0.015786275,Placer,CA,2.397935155
06063,3,3,100,0.016043639,Plumas,CA,4.256377346
06065,684,684,100,0.028699871,Riverside,CA,22.78482734
06067,233,233,100,0.015430229,Sacramento,CA,11.32270171
06069,10,10,100,0.016830483,San Benito,CA,8.827588528
06071,568,568,100,0.02659907,San Bernardino,CA,23.96576213
06073,911,911,100,0.027582382,San Diego,CA,15.43510072
06075,238,238,100,0.027354938,San Francisco,CA,10.6985164
06077,115,115,100,0.015705834,San Joaquin,CA,13.96562744
06079,43,43,100,0.015277753,San Luis Obispo,CA,5.712351886
06081,164,164,100,0.021411739,San Mateo,CA,5.674110727
06083,496,496,100,0.111777671,Santa Barbara,CA,79.48510157
06085,290,290,100,0.01508688,Santa Clara,CA,5.36640308
06087,41,41,100,0.014976348,Santa Cruz,CA,8.132157142
06089,28,28,100,0.015635034,Shasta,CA,10.97892062
06091,1,1,100,0.034129693,Sierra,CA,1.542662116
06093,7,7,100,0.01607717,Siskiyou,CA,11.61254019
06095,75,75,100,0.017102593,Solano,CA,10.10934258
06097,75,75,100,0.014960594,Sonoma,CA,6.036599597
06099,88,88,100,0.016317418,Stanislaus,CA,14.15536036
06101,15,15,100,0.015645861,Sutter,CA,13.8027787
06103,10,10,100,0.015779591,Tehama,CA,15.18627807
06105,2,2,100,0.015549681,Trinity,CA,11.52386876
06107,281,281,100,0.061023678,Tulare,CA,57.46599722
06109,9,9,100,0.016687681,Tuolumne,CA,7.823184751
06111,127,127,100,0.014974437,Ventura,CA,7.229658347
06113,34,34,100,0.015815645,Yolo,CA,10.7040288
06115,12,12,100,0.015895513,Yuba,CA,14.97357371
08001,308,383,80.41775457,0.077044547,Adams,CO,45.39464711
08003,11,12,91.66666667,0.072974945,Alamosa,CO,68.97591827
08005,261,454,57.48898678,0.071308415,Arapahoe,CO,18.98230012
08007,2,3,66.66666667,0.023241401,Archuleta,CO,5.973039975
08009,0,1,0,0.028066236,Baca,CO,17.08111142
08011,1,1,100,0.017214667,Bent,CO,15.46049234
08013,57,106,53.77358491,0.033018721,Boulder,CO,5.626390057
08014,10,26,38.46153846,0.039322444,Broomfield,CO,1.926799758
08015,3,4,75,0.020872469,Chaffee,CO,4.986432895
08017,0,3,0,0.147130947,Cheyenne,CO,38.09220206
08019,0,2,0,0.021324235,Clear Creek,CO,0.420087429
08021,2,2,100,0.024563989,Conejos,CO,22.90591992
08023,1,1,100,0.027122322,Costilla,CO,25.43802549
08025,21,21,100,0.373001776,Crowley,CO,333.0905861
08027,1,1,100,0.021551724,Custer,CO,5.243534483
08029,8,8,100,0.026362618,Delta,CO,18.10057339
08031,455,607,74.95881384,0.087537514,Denver,CO,36.73949442
08033,0,1,0,0.054318305,Dona Ana,CO,8.234655079
08035,15,65,23.07692308,0.019780046,Douglas,CO,0.296700688
08037,7,9,77.77777778,0.016557205,Eagle,CO,2.266681384
08039,0,6,0,0.023845481,Elbert,CO,0
08041,79,111,71.17117117,0.016130134,El Paso,CO,6.334303563
08043,5,8,62.5,0.017020552,Fremont,CO,11.10591039
08045,10,10,100,0.01708292,Garfield,CO,5.996105094
08047,0,2,0,0.033760972,Gilpin,CO,0.074274139
08049,2,3,66.66666667,0.019912386,Grand,CO,1.965352449
08051,4,6,66.66666667,0.036282276,Gunnison,CO,5.050492834
08053,0,1,0,0.113895216,Hinsdale,CO,7.107061503
08055,2,2,100,0.030381285,Huerfano,CO,18.09205529
08057,0,1,0,0.077160494,Jackson,CO,8.773148148
08059,65,172,37.79069767,0.03015285,Jefferson,CO,1.890583721
08061,0,1,0,0.069013112,Kiowa,CO,22.00138026
08063,2,3,66.66666667,0.039292731,Kit Carson,CO,20.2475442
08065,3,3,100,0.039551747,Lake,CO,17.60843771
08067,7,9,77.77777778,0.016333642,La Plata,CO,1.773833506
08069,34,54,62.96296296,0.015968725,Larimer,CO,1.90666576
08071,2,3,66.66666667,0.021158051,Las Animas,CO,17.7156358
08073,1,1,100,0.018024513,Lincoln,CO,8.754506128
08075,69,91,75.82417582,0.419567523,Logan,CO,263.4884043
08077,19,24,79.16666667,0.016000213,Mesa,CO,9.208122775
08079,0,1,0,0.121506683,Mineral,CO,3.171324423
08081,2,2,100,0.015313936,Moffat,CO,8.378254211
08083,4,5,80,0.019298313,Montezuma,CO,9.544945772
08085,13,17,76.47058824,0.041194146,Montrose,CO,29.46617234
08087,85,91,93.40659341,0.322044095,Morgan,CO,238.7634922
08089,2,3,66.66666667,0.016371078,Otero,CO,15.65238745
08091,1,1,100,0.021177467,Ouray,CO,0.506141465
08093,0,4,0,0.02299908,Park,CO,0.013799448
08095,1,2,50,0.04631774,Phillips,CO,13.68689208
08097,2,3,66.66666667,0.016751354,Pitkin,CO,1.098888827
08099,3,4,75,0.033189512,Prowers,CO,31.17158978
08101,18,26,69.23076923,0.015787716,Pueblo,CO,13.68637095
08103,1,1,100,0.015467904,Rio Blanco,CO,5.260634184
08105,2,2,100,0.017619593,Rio Grande,CO,16.89014184
08107,1,4,25,0.016081048,Routt,CO,1.019538474
08109,2,2,100,0.030921459,Saguache,CO,24.95361781
08111,0,1,0,0.183823529,San Juan,CO,23.58455882
08113,0,2,0,0.025100402,San Miguel,CO,0.830823293
08115,1,1,100,0.042553191,Sedgwick,CO,29.51489362
08117,17,25,68,0.082158467,Summit,CO,5.808603635
08119,3,4,75,0.016588562,Teller,CO,1.209306183
08121,1,2,50,0.041322314,Washington,CO,11.66115702
08123,168,244,68.85245902,0.082677392,Weld,CO,33.02135042
08125,2,2,100,0.019862946,Yuma,CO,11.19674248
09001,365,1084,33.67158672,0.114788192,Fairfield,CT,51.62025016
09003,276,954,28.93081761,0.106624345,Hartford,CT,54.91153756
09005,7,109,6.422018349,0.059552753,Litchfield,CT,4.871415225
09007,6,79,7.594936709,0.048357083,Middlesex,CT,5.715807257
09009,365,958,38.10020877,0.111481034,New Haven,CT,58.22654389
09011,25,113,22.12389381,0.042026026,New London,CT,14.965468
09013,12,55,21.81818182,0.036359069,Tolland,CT,2.523319385
09015,22,46,47.82608696,0.039472104,Windham,CT,16.70459421
10001,98,169,57.98816568,0.096669756,Kent,DE,70.25957831
10003,53,347,15.27377522,0.062507543,New Castle,DE,23.50908701
10005,145,503,28.82703777,0.229115423,Sussex,DE,92.08148857
11001,212,1087,19.50321987,0.158802509,District of Columbia,DC,94.72569679
12001,41,41,100,0.015580586,Alachua,FL,7.368059039
12003,5,5,100,0.017995321,Baker,FL,12.24221702
12005,27,27,100,0.01479598,Bay,FL,8.990037374
12007,5,5,100,0.018532933,Bradford,FL,17.16890915
12009,91,91,100,0.01577648,Brevard,FL,5.857807104
12011,459,459,100,0.0240421,Broward,FL,14.05020347
12013,10,10,100,0.069232899,Calhoun,FL,58.16255885
12015,57,57,100,0.032211761,Charlotte,FL,15.74833007
12017,23,23,100,0.016074137,Citrus,FL,9.679845129
12019,33,33,100,0.015919649,Clay,FL,6.054242587
12021,93,93,100,0.025554927,Collier,FL,11.80126511
12023,20,20,100,0.028941466,Columbia,FL,24.87808407
12027,12,12,100,0.032967939,DeSoto,FL,31.70856342
12029,4,4,100,0.024335341,Dixie,FL,21.88720569
12031,144,144,100,0.015580554,Duval,FL,10.78174349
12033,68,68,100,0.021828314,Escambia,FL,10.61510905
12035,18,18,100,0.016800605,Flagler,FL,4.70248929
12037,2,2,100,0.017041581,Franklin,FL,13.77471029
12039,18,18,100,0.039115979,Gadsden,FL,38.72873069
12041,3,3,100,0.01703094,Gilchrist,FL,12.88731195
12043,3,3,100,0.022450049,Glades,FL,20.31280401
12045,3,3,100,0.018685768,Gulf,FL,11.06197446
12047,8,8,100,0.056065597,Hamilton,FL,55.54979326
12049,9,9,100,0.033054209,Hardee,FL,32.49559277
12051,37,37,100,0.092207242,Hendry,FL,91.64477783
12053,30,30,100,0.016420721,Hernando,FL,9.014975697
12055,16,16,100,0.015670757,Highlands,FL,13.67900412
12057,221,221,100,0.016027466,Hillsborough,FL,10.74000477
12059,3,3,100,0.015440041,Holmes,FL,14.43180648
12061,24,24,100,0.015895724,Indian River,FL,6.297885869
12063,47,47,100,0.096963195,Jackson,FL,92.91983
12065,3,3,100,0.021269054,Jefferson,FL,12.22545197
12067,2,2,100,0.022872827,Lafayette,FL,22.42909424
12069,56,56,100,0.016698374,Lake,FL,10.0674495
12071,136,136,100,0.018923608,Lee,FL,10.45529367
12073,45,45,100,0.015619468,Leon,FL,7.720703084
12075,7,7,100,0.017517079,Levy,FL,13.65105978
12077,96,96,100,1.147638972,Liberty,FL,956.4423192
12079,6,6,100,0.032478077,Madison,FL,31.20493667
12081,108,108,100,0.02888836,Manatee,FL,15.01328062
12083,55,55,100,0.015787766,Marion,FL,11.89608205
12085,37,37,100,0.023479988,Martin,FL,9.36851524
12086,1094,1094,100,0.040287003,Miami-Dade,FL,32.93462458
12087,12,12,100,0.01572224,Monroe,FL,7.164624959
12089,14,14,100,0.017374469,Nassau,FL,4.27238204
12091,32,32,100,0.015941256,Okaloosa,FL,6.153324997
12093,9,9,100,0.022182786,Okeechobee,FL,20.9960071
12095,210,210,100,0.015894713,Orange,FL,10.63515275
12097,57,57,100,0.016833078,Osceola,FL,13.76609109
12099,495,495,100,0.034225809,Palm Beach,FL,19.13907225
12101,84,84,100,0.016451459,Pasco,FL,10.43680583
12103,147,147,100,0.01534647,Pinellas,FL,7.932590369
12105,109,109,100,0.016300991,Polk,FL,14.72794543
12107,14,14,100,0.019239755,Putnam,FL,18.32586648
12109,40,40,100,0.016984922,St. Johns,FL,1.292552536
12111,50,50,100,0.016361738,St. Lucie,FL,11.75590904
12113,28,28,100,0.016427876,Santa Rosa,FL,5.086070335
12115,66,66,100,0.01601382,Sarasota,FL,4.064307621
12117,71,71,100,0.015601447,Seminole,FL,2.876906782
12119,27,27,100,0.022314234,Sumter,FL,5.266159224
12121,10,10,100,0.022766597,Suwannee,FL,21.45524087
12123,4,4,100,0.018101186,Taylor,FL,16.26210517
12125,3,3,100,0.019686331,Union,FL,16.50108275
12127,83,83,100,0.015730601,Volusia,FL,8.411152428
12129,6,6,100,0.018822348,Wakulla,FL,7.589170876
12131,15,15,100,0.022776276,Walton,FL,13.26034802
12133,4,4,100,0.016282667,Washington,FL,14.55507612
13001,14,14,100,0.075864311,Appling,GA,73.35320256
13003,6,6,100,0.072595281,Atkinson,GA,69.80036298
13005,11,11,100,0.097969362,Bacon,GA,91.98343427
13007,6,6,100,0.188146754,Baker,GA,139.6801505
13009,32,32,100,0.070662015,Baldwin,GA,61.23570198
13011,7,7,100,0.037817396,Banks,GA,21.12479741
13013,29,32,90.625,0.04161952,Barrow,GA,17.49684602
13015,28,29,96.55172414,0.027986875,Bartow,GA,16.55143795
13017,7,8,87.5,0.046636353,Ben Hill,GA,40.69488166
13019,3,3,100,0.015768725,Berrien,GA,13.40341656
13021,42,48,87.5,0.031272396,Bibb,GA,28.69242296
13023,9,9,100,0.070450098,Bleckley,GA,52.09784736
13025,3,3,100,0.016162922,Brantley,GA,10.06788427
13027,5,5,100,0.032006145,Brooks,GA,26.87876072
13029,5,6,83.33333333,0.016720078,Bryan,GA,5.666434443
13031,12,12,100,0.016046642,Bulloch,GA,13.03147816
13033,16,16,100,0.070953437,Burke,GA,59.99113082
13035,29,29,100,0.122105263,Butts,GA,93.44715789
13037,12,12,100,0.186683261,Calhoun,GA,182.464219
13039,8,9,88.88888889,0.017073263,Camden,GA,8.808096521
13043,2,2,100,0.018472338,Candler,GA,18.15461347
13045,23,23,100,0.019823827,Carroll,GA,15.51214425
13047,9,11,81.81818182,0.016591502,Catoosa,GA,2.186759981
13049,4,4,100,0.03080952,Charlton,GA,26.96449203
13051,40,47,85.10638298,0.016373511,Chatham,GA,11.37795289
13053,1,2,50,0.018575276,Chattahoochee,GA,11.84916876
13055,4,4,100,0.016117984,Chattooga,GA,14.91235846
13057,73,96,76.04166667,0.03968418,Cherokee,GA,4.702575338
13059,19,21,90.47619048,0.016853662,Clarke,GA,12.93518563
13061,3,3,100,0.099966678,Clay,GA,93.05898034
13063,125,126,99.20634921,0.045215419,Clayton,GA,41.15507453
13065,12,12,100,0.177962331,Clinch,GA,173.9937713
13067,186,301,61.79401993,0.040399594,Cobb,GA,10.78265153
13069,27,27,100,0.062847699,Coffee,GA,59.74302274
13071,16,16,100,0.035083103,Colquitt,GA,34.42354076
13073,20,24,83.33333333,0.016293832,Columbia,GA,2.173597203
13075,6,6,100,0.034916201,Cook,GA,29.71368715
13077,27,39,69.23076923,0.027754846,Coweta,GA,6.736101227
13079,2,2,100,0.016202203,Crawford,GA,11.04180169
13081,12,12,100,0.052525606,Crisp,GA,51.77449006
13083,3,3,100,0.018487706,Dade,GA,9.532261046
13085,12,12,100,0.05029127,Dawson,GA,5.220233854
13087,17,17,100,0.063354824,Decatur,GA,59.90198636
13089,247,292,84.5890411,0.039290246,DeKalb,GA,25.97478158
13091,5,5,100,0.023901716,Dona Ana,GA,22.0445528
13093,12,12,100,0.086299892,Dooly,GA,81.84681769
13095,51,57,89.47368421,0.062603653,Dougherty,GA,59.55485508
13097,51,58,87.93103448,0.040891145,Douglas,GA,22.09757473
13099,8,9,88.88888889,0.086973328,Early,GA,80.02415926
13101,2,2,100,0.050075113,Echols,GA,33.12468703
13103,9,10,90,0.017038968,Effingham,GA,4.026308167
13105,11,11,100,0.057255882,Elbert,GA,47.7399542
13107,4,4,100,0.017778568,Emanuel,GA,17.36610516
13109,2,2,100,0.018644542,Evans,GA,18.35928032
13111,4,4,100,0.016048144,Fannin,GA,4.819257773
13113,12,18,66.66666667,0.016162487,Fayette,GA,0.982679202
13115,14,15,93.33333333,0.015492027,Floyd,GA,13.7166405
13117,18,51,35.29411765,0.02319447,Forsyth,GA,0.86515372
13119,4,4,100,0.017766723,Franklin,GA,15.03420094
13121,245,371,66.03773585,0.036304851,Fulton,GA,19.12539559
13123,19,19,100,0.063498429,Gilmer,GA,35.55277054
13125,1,1,100,0.033233632,Glascock,GA,22.79827185
13127,11,13,84.61538462,0.015480982,Glynn,GA,11.08283516
13129,16,16,100,0.028173974,Gordon,GA,24.81000176
13131,13,13,100,0.052154377,Grady,GA,48.28452219
13133,2,3,66.66666667,0.017672008,Greene,GA,9.505772856
13135,358,388,92.26804124,0.043001314,Gwinnett,GA,18.69267138
13137,66,66,100,0.149021202,Habersham,GA,106.4905507
13139,328,355,92.3943662,0.181158496,Hall,GA,119.8906925
13141,44,44,100,0.515524312,Hancock,GA,411.5946104
13143,5,5,100,0.017267578,Haralson,GA,9.371114795
13145,5,6,83.33333333,0.017862459,Harris,GA,2.395355761
13147,5,5,100,0.019507627,Hart,GA,14.03378721
13149,3,3,100,0.02569153,Heard,GA,18.58011476
13151,61,66,92.42424242,0.029822825,Henry,GA,9.355420298
