ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
01,ALABAMA,AL,Shelby,01117,"Shelby County, Alabama",785.3750191,211261,0,86077,217,78328,781,17557,1471,4411,490,36576,787,11258,787,30125,103,50611,23,23579,1005,4696,443,46203,219,3147,559,6573,482,6867,403,875,192,2305,314,2989,392,8.4,0.7,4.0,0.4,36576.0,787.0,7.8,0.5,14.3,0.1,24.0,0.0,11.2,0.5,6.0,0.6,21.9,0.1,1.6,0.3,7.6,0.6,8.0,0.5,1.1,0.2,2.9,0.4,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0606,0.8788,0.0,0.0758,1.0152,0.0303,0.303,0.8788,1.1818,0.6667,0.8939,0.0606,0.1818,0.0,0.3788,1.5151,0.0758,3.7121,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14284,1203,6.8,0.6,186485
01,ALABAMA,AL,Baldwin,01003,"Baldwin County, Alabama",1589.7930067,208107,0,111945,206,78622,1183,21653,1765,4343,620,31203,716,14310,1211,40665,69,45677,0,28863,1217,4508,581,35339,227,1068,323,20492,1203,13075,831,991,248,2705,443,3014,459,10.6,0.9,4.4,0.6,31203.0,716.0,9.7,0.8,19.5,0.1,21.9,0.0,14.0,0.6,5.7,0.7,17.0,0.1,0.5,0.2,18.3,1.1,11.7,0.7,1.3,0.3,3.4,0.6,1.4,0.2,0.0152,0.0455,0.0303,0.0455,0.1365,0.0152,0.7879,0.4242,0.0758,0.0606,1.3485,0.1212,0.2121,0.4091,0.6212,0.197,1.0,0.1515,0.303,0.0303,0.3788,1.8636,0.1667,3.9698,0.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,20864,1646,10.2,0.8,195677
01,ALABAMA,AL,St. Clair,01115,"St. Clair County, Alabama",631.6030046,87306,0,36628,118,32172,526,11268,1559,2188,428,24861,842,9255,911,13891,84,19998,106,14055,965,2319,320,12197,25,391,223,619,234,8772,571,277,112,979,221,2200,289,13.2,1.8,5.3,1.1,24861.0,842.0,15.2,1.5,15.9,0.1,22.9,0.1,16.5,1.1,7.2,1.0,14.0,0.0,0.5,0.3,1.7,0.6,23.9,1.6,0.9,0.3,3.0,0.7,2.5,0.3,0.0455,0.1364,0.2424,0.2121,0.6364,0.0909,0.2121,0.6667,0.2727,0.1667,1.3182,0.1061,0.1212,0.4091,0.5303,0.1212,0.4697,0.6212,0.0909,0.0152,0.7121,1.9091,0.2121,4.394,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7553,985,8.8,1.2,67607
01,ALABAMA,AL,Colbert,01033,"Colbert County, Alabama",592.7446865,54495,0,26466,58,21799,445,8785,848,1397,286,24918,1055,6016,555,10502,73,11608,38,10086,520,1791,278,11630,35,175,127,587,147,2455,310,83,54,1322,244,436,83,16.3,1.6,5.9,1.2,24918.0,1055.0,15.6,1.4,19.3,0.1,21.3,0.1,18.7,1.0,8.2,1.3,21.3,0.1,0.3,0.2,2.2,0.6,9.3,1.2,0.4,0.3,6.1,1.1,0.8,0.2,0.2727,0.2879,0.2273,0.2576,1.0455,0.1818,0.7424,0.2879,0.5,0.3939,1.9242,0.4697,0.2879,0.2121,0.5,0.1061,0.5606,0.0909,0.0152,0.5,0.0455,1.2122,0.0,4.6819,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353,552,8.1,1.0,56580
01,ALABAMA,AL,Madison,01089,"Madison County, Alabama",801.5829707,357560,0,159299,251,145256,1161,45960,2425,10632,812,35526,579,21617,1023,51308,25,79195,33,46042,1701,11785,789,125445,339,3762,517,16210,995,7081,606,1939,339,7103,496,8842,548,13.2,0.7,5.8,0.4,35526.0,579.0,8.9,0.4,14.3,0.1,22.1,0.0,13.1,0.5,8.1,0.5,35.1,0.1,1.1,0.2,10.2,0.6,4.4,0.4,1.3,0.2,4.9,0.3,2.5,0.2,0.0455,0.2424,0.0152,0.0152,0.3183,0.0303,0.0606,0.4848,0.0303,0.3636,0.9393,0.0152,0.6061,0.7576,1.3637,0.8939,0.9394,0.0303,0.303,0.2424,0.7121,2.2272,0.3788,4.8485,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,31451,1695,8.9,0.5,377577
01,ALABAMA,AL,Lauderdale,01077,"Lauderdale County, Alabama",668.0128629,92585,0,44792,164,38514,545,13703,1196,2267,279,27189,881,7979,658,17876,107,18522,70,13503,763,2923,398,14084,52,504,197,2357,332,4083,510,475,167,2698,321,2209,307,15.2,1.3,5.3,0.7,27189.0,881.0,12.6,1.0,19.3,0.1,20.0,0.1,14.7,0.8,7.6,1.0,15.2,0.1,0.6,0.2,5.3,0.7,9.1,1.1,1.2,0.4,7.0,0.8,2.4,0.3,0.1818,0.1364,0.1364,0.1061,0.5607,0.0606,0.7424,0.0758,0.1515,0.2879,1.2576,0.0909,0.1515,0.5303,0.6818,0.2576,0.8485,0.0758,0.2424,0.5909,0.6667,2.4243,0.5303,4.9244,0.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8328,783,9.1,0.9,80602
01,ALABAMA,AL,Lawrence,01079,"Lawrence County, Alabama",690.6840635,33171,0,15373,44,12811,345,5508,733,766,158,23557,1123,4919,529,5787,121,7232,24,6750,490,937,223,7781,46,62,108,128,61,3458,331,195,87,705,146,232,93,16.8,2.2,5.7,1.2,23557.0,1123.0,21.0,2.2,17.4,0.4,21.8,0.1,20.5,1.5,7.3,1.7,23.5,0.1,0.2,0.3,0.8,0.4,22.5,2.2,1.5,0.7,5.5,1.2,0.7,0.3,0.303,0.2121,0.3636,0.803,1.6817,0.3788,0.4242,0.3788,0.6515,0.1818,1.6363,0.197,0.3636,0.1818,0.5454,0.1364,0.1667,0.5303,0.4394,0.3485,0.0152,1.5001,0.0606,5.3635,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2686,335,8.2,1.0,22621
01,ALABAMA,AL,Autauga,01001,"Autauga County, Alabama",594.4434589,55200,0,23315,71,21115,383,8422,1137,1065,257,29372,2306,4204,475,8050,75,13369,32,10465,729,1586,319,13788,59,426,205,886,308,4279,469,299,142,1191,272,546,161,15.4,2.1,4.2,1.0,29372.0,2306.0,11.3,1.3,14.6,0.1,24.2,0.1,19.3,1.3,7.5,1.5,25.0,0.1,0.8,0.4,3.8,1.3,18.4,2.0,1.4,0.7,5.6,1.3,1.0,0.3,0.2121,0.0303,0.0606,0.0758,0.3788,0.0455,0.1061,0.8939,0.5909,0.2576,1.8485,0.4242,0.4091,0.6667,1.0758,0.6061,0.7727,0.3636,0.3788,0.4091,0.1667,2.0909,0.3333,5.394,0.1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3875,508,7.1,0.9,37301
01,ALABAMA,AL,Blount,01009,"Blount County, Alabama",644.8304602,57645,0,24222,55,20600,396,8220,992,909,193,22656,905,7861,727,10233,91,13468,53,8114,592,1437,267,7413,229,934,239,211,104,6108,476,339,130,856,201,543,117,14.4,1.7,4.1,0.8,22656.0,905.0,19.8,1.8,17.8,0.2,23.4,0.1,14.2,1.0,7.0,1.3,12.9,0.4,1.7,0.4,0.9,0.4,25.2,2.0,1.6,0.6,4.2,1.0,0.9,0.2,0.1364,0.0152,0.5455,0.7121,1.4092,0.2879,0.4394,0.7727,0.1061,0.1212,1.4394,0.1515,0.1061,0.9091,1.0152,0.5,0.197,0.6667,0.4848,0.1061,0.0758,1.5304,0.0909,5.3942,0.1212,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6303,732,11.0,1.3,40036
01,ALABAMA,AL,Cherokee,01019,"Cherokee County, Alabama",553.5248315,25853,0,16531,57,10606,370,3827,575,581,170,23356,1325,3692,413,5621,98,5286,146,5110,520,494,166,2123,22,99,113,331,107,4825,441,155,95,435,117,274,97,15.0,2.3,5.6,1.6,23356.0,1325.0,19.8,2.2,21.7,0.4,20.4,0.6,20.0,2.0,4.7,1.6,8.2,0.1,0.4,0.5,2.0,0.7,29.2,2.7,1.5,0.9,4.1,1.1,1.1,0.4,0.1515,0.1818,0.3788,0.7121,1.4242,0.303,0.9697,0.1061,0.6364,0.0,1.7122,0.2727,0.0606,0.2879,0.3485,0.0303,0.5303,0.803,0.4394,0.0909,0.197,2.0606,0.3182,5.5455,0.1364,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2133,432,8.3,1.7,19502
01,ALABAMA,AL,Coffee,01031,"Coffee County, Alabama",678.9858208,51288,0,23088,57,19789,339,7604,731,1371,244,27577,976,4833,429,8375,75,12161,0,8788,488,1928,272,15065,56,664,215,215,99,3140,201,272,86,1189,218,601,81,15.1,1.4,5.9,1.0,27577.0,976.0,13.8,1.2,16.3,0.1,23.7,0.0,17.7,1.0,9.7,1.4,29.4,0.1,1.4,0.4,0.9,0.4,13.6,0.9,1.4,0.4,6.0,1.1,1.2,0.2,0.1667,0.2879,0.1061,0.1364,0.6971,0.1061,0.2576,0.8485,0.3939,0.6515,2.1515,0.6212,0.4848,0.8333,1.3181,0.8182,0.197,0.1818,0.3788,0.4697,0.2424,1.4697,0.0455,5.6364,0.1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,540,10.1,1.1,44908
01,ALABAMA,AL,Limestone,01083,"Limestone County, Alabama",559.955192,93052,0,36069,125,32126,524,12384,1371,2957,563,27699,1019,10123,839,13723,123,21412,109,14690,976,2435,391,21498,13,837,288,1297,248,4536,465,588,175,1171,224,2872,295,13.7,1.5,6.9,1.3,27699.0,1019.0,15.7,1.3,14.7,0.1,23.0,0.1,16.3,1.1,7.6,1.2,23.1,0.0,1.0,0.3,3.6,0.7,12.6,1.3,1.8,0.5,3.6,0.7,3.1,0.3,0.0909,0.4545,0.0909,0.2727,0.909,0.1364,0.1364,0.7121,0.2576,0.2879,1.394,0.1364,0.3485,0.697,1.0455,0.5455,0.7424,0.1667,0.5909,0.0455,0.7879,2.3334,0.4545,5.6819,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8634,928,9.6,1.0,78218
01,ALABAMA,AL,Elmore,01051,"Elmore County, Alabama",618.4462511,81212,0,34004,192,29143,638,9462,1391,2219,442,27475,1129,7594,675,11770,111,18239,0,13646,860,2679,409,21741,210,509,248,895,265,5123,493,422,175,1364,276,4424,439,12.3,1.8,6.2,1.2,27475.0,1129.0,13.6,1.2,14.5,0.1,22.5,0.0,17.9,1.1,9.2,1.4,26.8,0.3,0.7,0.3,2.6,0.8,15.1,1.5,1.4,0.6,4.7,0.9,5.4,0.5,0.0303,0.3485,0.1212,0.1212,0.6212,0.0758,0.0909,0.5909,0.4697,0.5606,1.7121,0.2121,0.4394,0.6061,1.0455,0.5455,0.6364,0.2576,0.3788,0.197,0.8788,2.3486,0.4848,5.7274,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6227,816,8.2,1.1,61316
01,ALABAMA,AL,Cullman,01043,"Cullman County, Alabama",734.7802988,82313,0,37652,92,30730,592,12831,1294,1903,353,22980,906,10405,776,14803,95,18572,140,14310,958,2057,261,6487,97,447,165,959,196,8615,672,555,165,1279,203,1200,218,15.8,1.6,5.5,1.0,22980.0,906.0,18.2,1.4,18.0,0.1,22.6,0.2,17.6,1.2,6.7,0.8,7.9,0.1,0.6,0.2,2.5,0.5,22.9,1.8,1.8,0.5,4.2,0.7,1.5,0.3,0.2424,0.1667,0.4697,0.4848,1.3636,0.2576,0.4697,0.6212,0.3788,0.1061,1.5758,0.1818,0.0303,0.5303,0.5606,0.1667,0.6061,0.5606,0.5909,0.1061,0.4394,2.3031,0.4242,5.8031,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9631,933,11.8,1.1,76993
01,ALABAMA,AL,Henry,01067,"Henry County, Alabama",561.7500782,17124,0,9096,44,6669,252,2270,360,494,168,24069,1295,2412,253,3696,36,3587,0,3145,295,474,138,5319,19,51,79,71,43,2358,235,52,30,369,93,311,59,13.5,2.2,6.7,2.3,24069.0,1295.0,19.8,2.0,21.6,0.2,20.9,0.0,18.7,1.7,7.1,2.1,31.1,0.1,0.3,0.5,0.8,0.5,25.9,2.6,0.8,0.5,5.5,1.4,1.8,0.3,0.0758,0.4242,0.2879,0.7121,1.5,0.3333,0.9394,0.1667,0.5,0.1515,1.7576,0.2879,0.5152,0.2121,0.7273,0.303,0.1667,0.6818,0.0606,0.3485,0.5758,1.8334,0.1364,5.8183,0.2121,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1917,386,11.4,2.3,13595
01,ALABAMA,AL,Clay,01027,"Clay County, Alabama",603.960762,13378,0,6802,39,5236,241,2405,406,378,131,23147,1746,2275,369,2652,44,2819,94,2008,274,509,121,2638,19,51,123,28,32,1424,260,48,36,218,91,250,79,18.4,3.1,6.4,2.2,23147.0,1746.0,24.5,3.8,19.8,0.3,21.1,0.7,15.3,2.1,9.7,2.3,19.7,0.1,0.4,1.0,0.4,0.5,20.9,3.8,0.9,0.7,4.2,1.7,1.9,0.6,0.4242,0.3939,0.4242,0.9545,2.1968,0.5758,0.803,0.2121,0.1667,0.6515,1.8333,0.3788,0.2576,0.2879,0.5455,0.1515,0.0758,0.4545,0.0909,0.1061,0.6061,1.3334,0.0303,5.909,0.2273,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1340,277,10.2,2.1,11065
01,ALABAMA,AL,Bibb,01007,"Bibb County, Alabama",622.4610887,22527,0,9161,77,6840,321,2863,770,658,225,20199,1182,2650,346,3661,161,4659,0,3412,425,407,160,5726,22,57,96,222,96,2615,328,52,45,410,147,2091,202,14.0,3.8,7.5,2.5,20199.0,1182.0,16.8,2.2,16.3,0.7,20.7,0.0,16.7,2.1,6.0,2.3,25.4,0.1,0.3,0.5,2.4,1.1,28.5,3.6,0.8,0.7,6.0,2.2,9.3,0.9,0.1061,0.5303,0.8182,0.3939,1.8485,0.4697,0.2576,0.1212,0.2879,0.0758,0.7425,0.0,0.4242,0.2121,0.6363,0.2424,0.5909,0.7727,0.0606,0.4697,0.9697,2.8636,0.7273,6.0909,0.2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1619,396,7.9,1.9,17696
01,ALABAMA,AL,Jackson,01071,"Jackson County, Alabama",1077.986767,52094,0,25106,90,20626,420,10418,1277,1277,232,21608,861,6526,471,9972,33,11159,18,9712,577,1525,262,5557,64,219,164,354,125,4912,389,446,144,940,172,660,139,20.2,2.5,5.9,1.1,21608.0,861.0,17.5,1.3,19.1,0.1,21.4,0.0,18.8,1.1,7.4,1.3,10.7,0.1,0.4,0.3,1.4,0.5,19.6,1.5,2.2,0.7,4.6,0.8,1.3,0.3,0.5758,0.2879,0.6818,0.4242,1.9697,0.5,0.7273,0.303,0.5303,0.2424,1.803,0.3333,0.0758,0.2879,0.3637,0.0455,0.3788,0.4091,0.7424,0.1667,0.303,2.0,0.303,6.1364,0.2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4974,479,9.6,0.9,46376
